                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.68077,                0.49131,                0.11971,                0.86757,                0.79671,                0.87324,                0.57768,                0.46197,                0.37612,                0.08298,                 0.0001,                 0.0001,                 0.0001
                    110,                0.67692,                0.48993,                0.11869,                0.88219,                0.79066,                0.87778,                0.57897,                0.46217,                0.37523,                0.08254,                 0.0001,                 0.0001,                 0.0001
                    111,                0.67348,                0.48945,                0.11694,                0.88277,                0.79408,                0.87823,                0.57667,                0.46267,                0.37527,                0.08307,                 0.0001,                 0.0001,                 0.0001
                    112,                0.67281,                0.48751,                 0.1177,                0.90538,                0.78913,                0.88265,                0.58067,                0.46394,                0.37564,                0.08322,                 0.0001,                 0.0001,                 0.0001
                    113,                0.66972,                0.48441,                0.11637,                0.89048,                0.79512,                0.88482,                0.58129,                0.46317,                0.37425,                0.08264,                 0.0001,                 0.0001,                 0.0001
                    114,                0.66312,                0.48539,                0.11489,                0.89838,                0.79266,                0.88873,                0.58536,                0.45859,                 0.3731,                0.08222,                 0.0001,                 0.0001,                 0.0001
                    115,                0.66746,                0.48887,                0.11549,                0.87251,                0.80995,                0.88995,                0.58806,                0.45732,                0.37255,                0.08227,                 0.0001,                 0.0001,                 0.0001
                    116,                0.67029,                0.48754,                 0.1182,                 0.8924,                0.79878,                0.89489,                0.58877,                0.45691,                 0.3726,                0.08257,                 0.0001,                 0.0001,                 0.0001
                    117,                0.66601,                0.49143,                 0.1162,                0.89696,                0.80703,                0.89904,                0.59458,                0.45219,                0.37127,                0.08169,                 0.0001,                 0.0001,                 0.0001
                    118,                  0.657,                0.48574,                0.11278,                0.89642,                0.80932,                0.90065,                0.59706,                0.44971,                0.37071,                0.08149,                 0.0001,                 0.0001,                 0.0001
